         2644190 function calls (2644055 primitive calls) in 0.501 seconds

   Ordered by: cumulative time
   List reduced from 329 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    94542    0.034    0.000    0.049    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:505(<genexpr>)
      628    0.024    0.000    0.047    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:307(_prepare_single_pauschale_structure)
   387581    0.022    0.000    0.022    0.000 {method 'upper' of 'str' objects}
    17269    0.018    0.000    0.024    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:98(_normalize_table_type_value)
      889    0.016    0.000    0.070    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:93(get_table_content)
       71    0.013    0.000    0.066    0.001 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:474(count_matching_lkn_codes)
      756    0.012    0.000    0.018    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:2734(_get_tables_for_context_lkn)
    16450    0.011    0.000    0.016    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:152(get_lang_field)
      579    0.007    0.000    0.180    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1206(check_single_condition)
    82167    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
      592    0.005    0.000    0.193    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:733(_replace)
  580/574    0.004    0.000    0.187    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:670(_evaluate_condition_text)
      847    0.004    0.000    0.011    0.000 {built-in method builtins.sorted}
     8668    0.003    0.000    0.004    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:258(_normalize_operator_label)
    39094    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    35325    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     5076    0.003    0.000    0.004    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:271(_condition_sort_key)
    35086    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
    10152    0.002    0.000    0.003    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:241(_normalize_group_identifier)
    16365    0.002    0.000    0.003    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:147(<lambda>)
      355    0.002    0.000    0.194    0.001 {method 'sub' of 're.Pattern' objects}
        1    0.002    0.002    0.502    0.502 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\reproduce_slow_pauschale.py:68(run_benchmark)
        1    0.002    0.002    0.002    0.002 {method 'reset' of '_contextvars.ContextVar' objects}
    28503    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        2    0.001    0.001    0.049    0.025 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:289(build_pauschale_condition_structure_index)
      146    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:146(<dictcomp>)
        9    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      889    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:118(<listcomp>)
       71    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:800(_shunting_yard)
     4019    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\typing.py:373(inner)
     6294    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      889    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:56(_get_cache_bucket)
      864    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:272(_compile)
       71    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:829(_evaluate_rpn)
     1658    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:314(<genexpr>)
        3    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       71    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:797(<listcomp>)
     2184    0.001    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:119(<genexpr>)
     2095    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     72/1    0.001    0.000    0.473    0.473 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:72(wrapper)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\configparser.py:1012(_read)
      657    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       71    0.000    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:178(build_normalized_context)
      230    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.047    0.024 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:301(<dictcomp>)
     3225    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}


